distance,innsbruck,grenoble,zurich,boulder
200.0,5.0,2.0,9.0,3.0
400.0,4.0,2.0,11.0,6.0
600.0,6.0,4.0,19.0,9.0
800.0,19.0,5.0,42.0,12.0
1000.0,34.0,3.0,53.0,14.0
1200.0,73.0,6.0,64.0,20.0
1400.0,101.0,7.0,69.0,23.0
1600.0,150.0,7.0,84.0,33.0
1800.0,160.0,7.0,92.0,37.0
2000.0,204.0,65.0,105.0,44.0
2200.0,254.0,93.0,125.0,56.0
2400.0,248.0,45.0,142.0,63.0
2600.0,323.0,166.0,165.0,73.0
2800.0,398.0,193.0,175.0,79.0
3000.0,487.0,202.0,194.0,87.0
3200.0,680.0,177.0,218.0,111.0
3400.0,784.0,257.0,228.0,130.0
3600.0,833.0,472.0,229.0,146.0
3800.0,899.0,596.0,226.0,151.0
4000.0,1005.0,697.0,220.0,160.0
4200.0,1158.0,786.0,215.0,249.0
4400.0,1253.0,585.0,214.0,285.0
4600.0,1361.0,510.0,222.0,346.0
4800.0,1392.0,379.0,228.0,366.0
5000.0,1392.0,332.0,237.0,388.0
5200.0,1353.0,327.0,238.0,387.0
5400.0,1438.0,342.0,241.0,399.0
5600.0,1535.0,402.0,245.0,374.0
5800.0,1596.0,455.0,253.0,430.0
6000.0,1675.0,598.0,261.0,461.0
6200.0,1760.0,690.0,261.0,524.0
6400.0,1886.0,784.0,264.0,506.0
6600.0,1946.0,891.0,264.0,527.0
6800.0,1666.0,914.0,265.0,576.0
7000.0,1520.0,810.0,264.0,618.0
7200.0,1320.0,702.0,256.0,658.0
7400.0,1307.0,548.0,238.0,691.0
7600.0,1360.0,612.0,220.0,729.0
7800.0,1440.0,657.0,208.0,753.0
8000.0,1599.0,748.0,203.0,776.0
8200.0,1643.0,795.0,207.0,799.0
8400.0,1618.0,815.0,207.0,815.0
8600.0,1453.0,818.0,221.0,782.0
8800.0,1295.0,781.0,229.0,761.0
9000.0,1347.0,784.0,238.0,764.0
9200.0,1385.0,799.0,245.0,751.0
9400.0,1448.0,870.0,251.0,730.0
9600.0,1524.0,960.0,254.0,688.0
9800.0,1574.0,1047.0,285.0,682.0
10000.0,1640.0,1123.0,318.0,712.0
10200.0,1670.0,1112.0,373.0,722.0
10400.0,1706.0,1084.0,414.0,733.0
10600.0,1764.0,1102.0,409.0,733.0
10800.0,1804.0,1226.0,380.0,740.0
11000.0,1843.0,1212.0,384.0,798.0
11200.0,1922.0,1220.0,398.0,822.0
11400.0,1914.0,1405.0,404.0,867.0
11600.0,1955.0,1478.0,393.0,887.0
11800.0,1948.0,1531.0,380.0,885.0
12000.0,1952.0,1547.0,381.0,880.0
12200.0,1926.0,1571.0,375.0,884.0
12400.0,1886.0,1590.0,376.0,879.0
12600.0,1880.0,1607.0,391.0,847.0
12800.0,1954.0,1623.0,400.0,883.0
13000.0,1976.0,1603.0,383.0,912.0
13200.0,1990.0,1543.0,364.0,933.0
13400.0,1983.0,1505.0,335.0,919.0
13600.0,1880.0,1494.0,302.0,891.0
13800.0,1876.0,1502.0,280.0,934.0
14000.0,1894.0,1371.0,301.0,809.0
14200.0,1905.0,1167.0,308.0,754.0
14400.0,1895.0,1108.0,312.0,760.0
14600.0,1883.0,1108.0,327.0,761.0
14800.0,1904.0,1099.0,339.0,766.0
15000.0,1924.0,1104.0,331.0,770.0
15200.0,1958.0,1088.0,349.0,773.0
15400.0,1909.0,1116.0,367.0,776.0
15600.0,1897.0,1125.0,359.0,793.0
15800.0,1861.0,1130.0,346.0,807.0
16000.0,1763.0,1154.0,337.0,810.0
16200.0,1713.0,1124.0,347.0,805.0
16400.0,1679.0,1154.0,352.0,807.0
16600.0,1695.0,1140.0,358.0,816.0
16800.0,1719.0,1296.0,360.0,823.0
17000.0,1794.0,1434.0,387.0,842.0
17200.0,1848.0,1715.0,372.0,843.0
17400.0,1873.0,1866.0,362.0,826.0
17600.0,1898.0,2022.0,356.0,836.0
17800.0,1904.0,1962.0,358.0,884.0
18000.0,1923.0,1921.0,353.0,953.0
18200.0,1906.0,1909.0,343.0,988.0
18400.0,1904.0,1863.0,333.0,897.0
18600.0,1901.0,1894.0,341.0,954.0
18800.0,1920.0,1898.0,362.0,967.0
19000.0,1967.0,1894.0,377.0,959.0
19200.0,2028.0,1887.0,386.0,952.0
19400.0,2025.0,1896.0,408.0,962.0
19600.0,1960.0,1919.0,413.0,973.0
19800.0,1967.0,1913.0,417.0,963.0
20000.0,2015.0,1889.0,421.0,953.0
20200.0,2052.0,1807.0,429.0,952.0
20400.0,2038.0,1761.0,446.0,955.0
20600.0,2007.0,1665.0,445.0,959.0
20800.0,2024.0,1687.0,448.0,964.0
21000.0,2037.0,1713.0,444.0,969.0
21200.0,2059.0,1753.0,450.0,976.0
21400.0,2003.0,1785.0,438.0,980.0
21600.0,1973.0,1825.0,409.0,986.0
21800.0,1983.0,1847.0,382.0,981.0
22000.0,1958.0,1829.0,384.0,985.0
22200.0,1900.0,1773.0,395.0,986.0
22400.0,1914.0,1723.0,403.0,974.0
22600.0,1909.0,1679.0,398.0,931.0
22800.0,1978.0,1641.0,404.0,921.0
23000.0,1980.0,1627.0,408.0,913.0
23200.0,1954.0,1628.0,418.0,910.0
23400.0,1988.0,1611.0,422.0,934.0
23600.0,2006.0,1635.0,424.0,960.0
23800.0,2020.0,1699.0,428.0,1001.0
24000.0,2017.0,1762.0,427.0,1015.0
24200.0,2023.0,1798.0,408.0,1008.0
24400.0,2066.0,1907.0,410.0,980.0
24600.0,2057.0,1969.0,399.0,946.0
24800.0,2069.0,2030.0,400.0,944.0
25000.0,2056.0,2088.0,392.0,961.0
25200.0,2060.0,2125.0,389.0,962.0
25400.0,2045.0,2137.0,395.0,977.0
25600.0,2040.0,2155.0,423.0,988.0
25800.0,2052.0,2147.0,446.0,1010.0
26000.0,2065.0,2131.0,443.0,1021.0
26200.0,2041.0,2087.0,451.0,1027.0
26400.0,2038.0,2044.0,435.0,1070.0
26600.0,2025.0,2059.0,424.0,1078.0
26800.0,2032.0,2095.0,428.0,1104.0
27000.0,2066.0,2140.0,443.0,1069.0
27200.0,2083.0,2117.0,443.0,1067.0
27400.0,2075.0,2088.0,442.0,1059.0
27600.0,2103.0,2108.0,431.0,1023.0
27800.0,2044.0,2105.0,429.0,1030.0
28000.0,2083.0,2134.0,433.0,1016.0
28200.0,2117.0,2193.0,433.0,1006.0
28400.0,2117.0,2251.0,444.0,1023.0
28600.0,2095.0,2310.0,445.0,1035.0
28800.0,2086.0,2369.0,448.0,1049.0
29000.0,2089.0,2416.0,427.0,1045.0
29200.0,2134.0,2422.0,401.0,1052.0
29400.0,2136.0,2436.0,405.0,1065.0
29600.0,2184.0,2456.0,410.0,1080.0
29800.0,2228.0,2493.0,410.0,1079.0
30000.0,2250.0,2531.0,417.0,1081.0
30200.0,2290.0,2533.0,412.0,1100.0
30400.0,2334.0,2521.0,410.0,1133.0
30600.0,2425.0,2494.0,399.0,1138.0
30800.0,2461.0,2481.0,382.0,1127.0
31000.0,2504.0,2477.0,367.0,1141.0
31200.0,2591.0,2478.0,356.0,1172.0
